SMILES,pIC50
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,6.12
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,7.0
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,4.3
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,6.52
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,6.1
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,5.62
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,4.3
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,6.1
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,4.3
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,4.3
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,7.3
C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,4.0
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,6.25
CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,8.0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,8.0
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,5.85
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,4.77
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,5.96
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,4.3
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,7.59
O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,4.3
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.1
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,4.3
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,4.3
CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.25
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.7
CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,6.52
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,6.7
COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,4.3
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,6.3
C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,4.0
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,4.3
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,3.59
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],7.66
C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],3.0
